name,phone,email,tax_id,contact_person,address,is_active
Prime Solutions,+91-9100000037,prime.solutions835@yahoo.com,IN6207764625,Sneha Reddy,"211 Civil Lines, Patna, WB",true
Prime Partners,+91-9100000038,prime.partners417@outlook.com,IN3228683632,Karan Roy,"799 Marine Drive, Delhi, WB",true
Quantum Logistics,+91-9100000039,quantum.logistics504@outlook.com,IN2015176163,Neha Verma,"100 Park Street, Chandigarh, MH",true
Fusion Enterprises,+91-9100000040,fusion.enterprises700@yahoo.com,IN3726000194,Karan Sharma,"464 Residency Road, Kanpur, CH",false
Vertex Exports,+91-9100000041,vertex.exports110@outlook.com,IN2353913097,Raj Joshi,"455 FC Road, Mumbai, MH",false
Elite Supplies,+91-9100000042,elite.supplies422@outlook.com,IN7886141217,Arjun Roy,"386 Salt Lake, Mumbai, BR",false
Summit Enterprises,+91-9100000043,summit.enterprises743@yahoo.com,IN3207731420,Raj Sharma,"912 Park Street, Delhi, DL",false
Fusion Partners,+91-9100000044,fusion.partners146@hotmail.com,IN1295197665,Divya Mehta,"553 Park Street, Pune, UP",false
Vertex Exports,+91-9100000045,vertex.exports306@rediff.com,IN9542586073,Arjun Reddy,"850 FC Road, Kanpur, BR",true
Nimbus Holdings,+91-9100000046,nimbus.holdings755@gmail.com,IN7035609533,Anita Roy,"196 Residency Road, Pune, DL",false
Nimbus Enterprises,+91-9100000047,nimbus.enterprises930@rediff.com,IN9865610318,Divya Sharma,"408 Nehru Nagar, Kolkata, CH",false
Nimbus Distributors,+91-9100000048,nimbus.distributors703@outlook.com,IN6667255725,Neha Malhotra,"519 Sector 22, Chandigarh, TS",false
Zenith Holdings,+91-9100000049,zenith.holdings213@gmail.com,IN3868500400,Mohit Reddy,"827 Residency Road, Kolkata, KL",false
Summit Partners,+91-9100000050,summit.partners167@gmail.com,IN1393542850,Karan Verma,"767 Park Street, Kanpur, CH",false
Zenith Supplies,+91-9100000051,zenith.supplies924@gmail.com,IN3734230136,Raj Reddy,"955 FC Road, Pune, UP",false
Prime Distributors,+91-9100000052,prime.distributors344@yahoo.com,IN5489109848,Anita Nair,"442 FC Road, Pune, KL",true
Global Enterprises,+91-9100000053,global.enterprises201@yahoo.com,IN8818395699,Mohit Verma,"284 MG Road, Delhi, DL",true
Quantum Holdings,+91-9100000054,quantum.holdings295@outlook.com,IN8348787814,Sneha Nair,"26 Jubilee Hills, Kolkata, WB",true
Zenith Logistics,+91-9100000055,zenith.logistics845@rediff.com,IN8902823941,Rahul Kumar,"688 Salt Lake, Chandigarh, KL",false
Global Traders,+91-9100000056,global.traders128@yahoo.com,IN9465860102,Priya Kumar,"637 Park Street, Pune, KA",false
Global Enterprises,+91-9100000057,global.enterprises226@hotmail.com,IN1283803269,Sneha Mehta,"495 MG Road, Patna, MH",false
Prime Partners,+91-9100000058,prime.partners575@hotmail.com,IN6751760007,Arjun Sharma,"787 Nehru Nagar, Kolkata, UP",false
Global Holdings,+91-9100000059,global.holdings504@gmail.com,IN4698332854,Neha Reddy,"139 Residency Road, Pune, KL",true
Nimbus Traders,+91-9100000060,nimbus.traders228@yahoo.com,IN4372262567,Priya Joshi,"24 MG Road, Chandigarh, DL",true
Global Solutions,+91-9100000061,global.solutions975@gmail.com,IN4960113454,Divya Sharma,"183 Jubilee Hills, Hyderabad, TS",false
Nova Holdings,+91-9100000062,nova.holdings928@rediff.com,IN6384699769,Arjun Reddy,"57 Park Street, Hyderabad, WB",true
Summit Exports,+91-9100000063,summit.exports948@gmail.com,IN1708168990,Sneha Desai,"490 Marine Drive, Hyderabad, WB",false
Elite Solutions,+91-9100000064,elite.solutions567@gmail.com,IN9704877013,Arjun Malhotra,"729 Salt Lake, Kolkata, KL",true
Nimbus Holdings,+91-9100000065,nimbus.holdings857@gmail.com,IN9546703717,Neha Kumar,"725 Residency Road, Kochi, DL",false
Nova Logistics,+91-9100000066,nova.logistics262@outlook.com,IN8273134704,Rahul Roy,"449 Marine Drive, Chandigarh, MH",true
Global Partners,+91-9100000067,global.partners544@outlook.com,IN2564171820,Neha Desai,"623 Civil Lines, Patna, MH",false
Vertex Solutions,+91-9100000068,vertex.solutions190@gmail.com,IN3871975919,Priya Joshi,"765 MG Road, Kolkata, BR",false
Quantum Logistics,+91-9100000069,quantum.logistics974@gmail.com,IN6875695594,Anita Verma,"505 FC Road, Kanpur, KL",true
Quantum Distributors,+91-9100000070,quantum.distributors581@gmail.com,IN8187710375,Priya Nair,"785 FC Road, Chandigarh, KA",false
Fusion Logistics,+91-9100000071,fusion.logistics987@hotmail.com,IN7837176754,Mohit Mehta,"574 Marine Drive, Hyderabad, UP",false
Zenith Imports,+91-9100000072,zenith.imports117@yahoo.com,IN6138816458,Priya Roy,"474 Residency Road, Kanpur, DL",false
Nimbus Enterprises,+91-9100000073,nimbus.enterprises373@outlook.com,IN8495528072,Neha Malhotra,"349 Park Street, Kanpur, KL",false
Summit Traders,+91-9100000074,summit.traders847@yahoo.com,IN9308605429,Rahul Kumar,"461 Park Street, Patna, WB",false
Vertex Imports,+91-9100000075,vertex.imports945@hotmail.com,IN6562466716,Sneha Desai,"245 Sector 22, Hyderabad, KA",false
Quantum Supplies,+91-9100000076,quantum.supplies654@rediff.com,IN3176904892,Divya Verma,"198 Salt Lake, Hyderabad, MH",false
Nimbus Holdings,+91-9100000077,nimbus.holdings676@hotmail.com,IN7978867540,Mohit Sharma,"733 FC Road, Mumbai, BR",false
Global Traders,+91-9100000078,global.traders726@outlook.com,IN8091587672,Arjun Kumar,"252 Jubilee Hills, Pune, BR",false
Summit Logistics,+91-9100000079,summit.logistics808@hotmail.com,IN2628970170,Raj Nair,"121 FC Road, Kochi, TS",true
Elite Imports,+91-9100000080,elite.imports942@outlook.com,IN3947924933,Priya Joshi,"263 Park Street, Kanpur, TS",true
Nimbus Solutions,+91-9100000081,nimbus.solutions680@hotmail.com,IN6632994342,Divya Mehta,"254 Sector 22, Chandigarh, KA",true
Quantum Imports,+91-9100000082,quantum.imports315@yahoo.com,IN6191475909,Rahul Nair,"736 Sector 22, Delhi, TS",false
Summit Traders,+91-9100000083,summit.traders645@hotmail.com,IN4794467385,Anita Kumar,"738 Civil Lines, Chandigarh, KL",true
Nimbus Logistics,+91-9100000084,nimbus.logistics311@gmail.com,IN5741509520,Divya Kumar,"59 Sector 22, Patna, UP",true
Fusion Solutions,+91-9100000085,fusion.solutions876@hotmail.com,IN5913366554,Anita Roy,"542 Nehru Nagar, Mumbai, KA",false
Fusion Enterprises,+91-9100000086,fusion.enterprises812@gmail.com,IN5590979511,Karan Verma,"290 MG Road, Chandigarh, UP",true
Quantum Supplies,+91-9100000087,quantum.supplies792@outlook.com,IN5679905557,Divya Malhotra,"166 Park Street, Hyderabad, MH",true
Elite Supplies,+91-9100000088,elite.supplies326@yahoo.com,IN7424424253,Arjun Roy,"439 Residency Road, Bengaluru, TS",true
Summit Exports,+91-9100000089,summit.exports994@yahoo.com,IN3845662274,Neha Mehta,"449 Marine Drive, Mumbai, TS",true
Elite Partners,+91-9100000090,elite.partners985@outlook.com,IN4079504656,Anita Joshi,"487 MG Road, Mumbai, WB",false
Zenith Exports,+91-9100000091,zenith.exports361@gmail.com,IN6597396589,Anita Reddy,"736 Jubilee Hills, Bengaluru, KA",true
Zenith Exports,+91-9100000092,zenith.exports578@rediff.com,IN5447259639,Neha Roy,"564 FC Road, Delhi, CH",true
Quantum Distributors,+91-9100000093,quantum.distributors233@gmail.com,IN8947978142,Anita Sharma,"170 Marine Drive, Kolkata, MH",true
Elite Exports,+91-9100000094,elite.exports711@outlook.com,IN5786958526,Raj Verma,"540 Salt Lake, Patna, CH",false
Quantum Enterprises,+91-9100000095,quantum.enterprises585@outlook.com,IN3185167105,Sneha Kumar,"103 MG Road, Hyderabad, BR",true
Summit Traders,+91-9100000096,summit.traders764@yahoo.com,IN1007319646,Mohit Nair,"278 Residency Road, Chandigarh, BR",true
Global Enterprises,+91-9100000097,global.enterprises549@hotmail.com,IN6443025425,Sneha Roy,"178 Sector 22, Hyderabad, MH",true
Quantum Imports,+91-9100000098,quantum.imports831@rediff.com,IN6860594586,Mohit Desai,"999 MG Road, Patna, CH",true
Summit Distributors,+91-9100000099,summit.distributors177@yahoo.com,IN4862901657,Divya Desai,"434 MG Road, Patna, UP",true
Nimbus Solutions,+91-9100000100,nimbus.solutions177@hotmail.com,IN5178939341,Divya Kumar,"499 Nehru Nagar, Hyderabad, MH",false
Fusion Supplies,+91-9100000101,fusion.supplies590@hotmail.com,IN3260658601,Mohit Malhotra,"644 MG Road, Patna, DL",true
Elite Partners,+91-9100000102,elite.partners242@outlook.com,IN6083575615,Neha Nair,"686 Salt Lake, Pune, TS",true
Nimbus Traders,+91-9100000103,nimbus.traders988@gmail.com,IN1192252651,Arjun Verma,"196 Park Street, Kolkata, WB",false
Nimbus Supplies,+91-9100000104,nimbus.supplies904@hotmail.com,IN8651806546,Rahul Nair,"925 Residency Road, Mumbai, KL",true
Fusion Logistics,+91-9100000105,fusion.logistics557@outlook.com,IN2029001248,Priya Kumar,"367 Jubilee Hills, Delhi, CH",true
Fusion Enterprises,+91-9100000106,fusion.enterprises471@rediff.com,IN2828701073,Karan Verma,"362 Marine Drive, Kolkata, KL",true
Nova Holdings,+91-9100000107,nova.holdings789@hotmail.com,IN3515614476,Arjun Reddy,"984 FC Road, Kanpur, CH",true
Global Distributors,+91-9100000108,global.distributors546@yahoo.com,IN3310348901,Divya Desai,"639 Civil Lines, Bengaluru, MH",true
Fusion Traders,+91-9100000109,fusion.traders773@outlook.com,IN6186859083,Divya Malhotra,"855 Nehru Nagar, Chandigarh, UP",true
Global Supplies,+91-9100000110,global.supplies682@outlook.com,IN5067861981,Karan Nair,"829 Salt Lake, Hyderabad, KA",true
Prime Exports,+91-9100000111,prime.exports304@gmail.com,IN4007672042,Priya Kumar,"611 Jubilee Hills, Chandigarh, TS",true
Nova Imports,+91-9100000112,nova.imports881@gmail.com,IN7242836286,Anita Desai,"788 Park Street, Kanpur, MH",true
Zenith Imports,+91-9100000113,zenith.imports661@gmail.com,IN9767215579,Sneha Malhotra,"749 MG Road, Kochi, BR",true
Global Traders,+91-9100000114,global.traders553@yahoo.com,IN6491459803,Priya Nair,"158 Salt Lake, Delhi, MH",false
Elite Traders,+91-9100000115,elite.traders716@hotmail.com,IN9393766891,Raj Sharma,"816 FC Road, Kolkata, KL",true
Nova Distributors,+91-9100000116,nova.distributors565@rediff.com,IN3420005016,Priya Desai,"400 Residency Road, Kanpur, MH",true
Fusion Distributors,+91-9100000117,fusion.distributors814@gmail.com,IN2742144079,Anita Desai,"474 Nehru Nagar, Delhi, CH",true
Zenith Logistics,+91-9100000118,zenith.logistics802@yahoo.com,IN6680261891,Divya Sharma,"139 Residency Road, Chandigarh, KL",true
Global Partners,+91-9100000119,global.partners978@yahoo.com,IN1282981553,Karan Roy,"679 Sector 22, Delhi, KL",false
Vertex Traders,+91-9100000120,vertex.traders930@outlook.com,IN3592723623,Raj Kumar,"136 Park Street, Kanpur, MH",false
Nova Holdings,+91-9100000121,nova.holdings861@rediff.com,IN3580580805,Neha Joshi,"639 Jubilee Hills, Patna, MH",false
Nova Traders,+91-9100000122,nova.traders533@rediff.com,IN2681372344,Arjun Malhotra,"145 Civil Lines, Mumbai, MH",false
Nimbus Enterprises,+91-9100000123,nimbus.enterprises818@outlook.com,IN8174530230,Mohit Sharma,"210 Sector 22, Kolkata, UP",true
Nimbus Logistics,+91-9100000124,nimbus.logistics339@hotmail.com,IN8798476018,Karan Reddy,"499 FC Road, Patna, TS",true
Zenith Supplies,+91-9100000125,zenith.supplies204@gmail.com,IN9857604862,Anita Desai,"446 Residency Road, Mumbai, CH",true
Summit Imports,+91-9100000126,summit.imports788@hotmail.com,IN2515087014,Sneha Sharma,"387 Civil Lines, Mumbai, BR",true
Fusion Partners,+91-9100000127,fusion.partners575@gmail.com,IN2042562533,Rahul Desai,"378 Nehru Nagar, Pune, TS",true
Quantum Logistics,+91-9100000128,quantum.logistics555@hotmail.com,IN3372070307,Divya Joshi,"195 Salt Lake, Hyderabad, BR",true
Nova Imports,+91-9100000129,nova.imports974@yahoo.com,IN7221214481,Sneha Malhotra,"436 Marine Drive, Mumbai, KL",false
Fusion Holdings,+91-9100000130,fusion.holdings929@gmail.com,IN5768688067,Arjun Kumar,"79 FC Road, Chandigarh, WB",true
Global Partners,+91-9100000131,global.partners749@hotmail.com,IN3148029918,Mohit Desai,"619 Jubilee Hills, Bengaluru, MH",true
Summit Imports,+91-9100000132,summit.imports383@outlook.com,IN1637786923,Sneha Malhotra,"368 Nehru Nagar, Mumbai, KL",true
Summit Holdings,+91-9100000133,summit.holdings845@gmail.com,IN8599440560,Rahul Nair,"37 Jubilee Hills, Kolkata, KA",true
Zenith Enterprises,+91-9100000134,zenith.enterprises641@hotmail.com,IN2663153981,Divya Roy,"243 Marine Drive, Pune, UP",false
Zenith Exports,+91-9100000135,zenith.exports911@gmail.com,IN5041682124,Anita Verma,"878 Residency Road, Delhi, KA",true
Elite Supplies,+91-9100000136,elite.supplies505@yahoo.com,IN5134964514,Sneha Kumar,"925 MG Road, Kanpur, DL",true
Fusion Partners,+91-9100000137,fusion.partners369@hotmail.com,IN7042251425,Rahul Malhotra,"746 Residency Road, Mumbai, UP",true
Summit Distributors,+91-9100000138,summit.distributors829@hotmail.com,IN9339398608,Anita Nair,"626 Nehru Nagar, Kochi, KL",true
Vertex Holdings,+91-9100000139,vertex.holdings406@yahoo.com,IN8958366501,Arjun Kumar,"24 Marine Drive, Kolkata, DL",false
Fusion Supplies,+91-9100000140,fusion.supplies256@rediff.com,IN7423025872,Mohit Reddy,"446 Civil Lines, Delhi, CH",true
Nimbus Logistics,+91-9100000141,nimbus.logistics357@rediff.com,IN7519324921,Sneha Desai,"55 Park Street, Patna, MH",true
Prime Enterprises,+91-9100000142,prime.enterprises899@yahoo.com,IN1035099443,Mohit Roy,"109 FC Road, Chandigarh, MH",false
Fusion Traders,+91-9100000143,fusion.traders364@gmail.com,IN2650130861,Neha Desai,"311 Sector 22, Chandigarh, MH",false
Prime Distributors,+91-9100000144,prime.distributors294@outlook.com,IN5767639642,Rahul Nair,"53 Nehru Nagar, Hyderabad, WB",false
Fusion Logistics,+91-9100000145,fusion.logistics294@hotmail.com,IN3338054358,Mohit Desai,"111 Civil Lines, Pune, DL",false
Elite Distributors,+91-9100000146,elite.distributors432@yahoo.com,IN3649057637,Arjun Reddy,"75 Marine Drive, Bengaluru, WB",false
Zenith Partners,+91-9100000147,zenith.partners163@gmail.com,IN7068898264,Rahul Malhotra,"437 Sector 22, Kanpur, BR",true
Nova Enterprises,+91-9100000148,nova.enterprises244@gmail.com,IN5903705605,Divya Joshi,"402 Park Street, Delhi, BR",false
Vertex Distributors,+91-9100000149,vertex.distributors228@yahoo.com,IN3140575680,Neha Joshi,"396 Salt Lake, Bengaluru, KA",false
Prime Enterprises,+91-9100000150,prime.enterprises835@rediff.com,IN3786153968,Karan Mehta,"548 Residency Road, Patna, CH",true
Zenith Distributors,+91-9100000151,zenith.distributors789@rediff.com,IN8648308313,Mohit Verma,"423 MG Road, Bengaluru, TS",false
Prime Supplies,+91-9100000152,prime.supplies295@yahoo.com,IN6297667262,Anita Desai,"938 Nehru Nagar, Patna, KA",false
Global Traders,+91-9100000153,global.traders509@outlook.com,IN5087276365,Anita Desai,"578 FC Road, Hyderabad, UP",true
Elite Solutions,+91-9100000154,elite.solutions316@outlook.com,IN6462445064,Arjun Kumar,"400 Jubilee Hills, Kolkata, DL",true
Nova Exports,+91-9100000155,nova.exports379@rediff.com,IN1739154185,Karan Joshi,"396 Civil Lines, Kochi, MH",true
Nimbus Distributors,+91-9100000156,nimbus.distributors968@outlook.com,IN7899839458,Arjun Sharma,"761 Sector 22, Kanpur, UP",false
Vertex Enterprises,+91-9100000157,vertex.enterprises565@yahoo.com,IN9962016605,Rahul Sharma,"259 Sector 22, Kochi, KA",true
Nimbus Logistics,+91-9100000158,nimbus.logistics638@gmail.com,IN5653013979,Raj Malhotra,"999 Civil Lines, Delhi, CH",false
Nimbus Partners,+91-9100000159,nimbus.partners643@outlook.com,IN4224431612,Sneha Verma,"331 Salt Lake, Bengaluru, CH",true
Summit Exports,+91-9100000160,summit.exports662@gmail.com,IN3558410277,Rahul Desai,"596 FC Road, Kanpur, CH",false
Quantum Partners,+91-9100000161,quantum.partners531@gmail.com,IN3882599532,Rahul Nair,"507 FC Road, Pune, CH",true
Elite Traders,+91-9100000162,elite.traders899@rediff.com,IN3635092533,Mohit Joshi,"900 MG Road, Kochi, KL",true
Vertex Holdings,+91-9100000163,vertex.holdings947@rediff.com,IN3289775046,Priya Reddy,"194 Jubilee Hills, Bengaluru, WB",false
Global Supplies,+91-9100000164,global.supplies432@rediff.com,IN6859672545,Karan Joshi,"987 MG Road, Hyderabad, KA",false
Global Distributors,+91-9100000165,global.distributors395@hotmail.com,IN2865023289,Divya Desai,"565 Nehru Nagar, Kanpur, MH",false
Prime Supplies,+91-9100000166,prime.supplies850@hotmail.com,IN6165071288,Neha Sharma,"925 Jubilee Hills, Kanpur, TS",false
Summit Traders,+91-9100000167,summit.traders296@yahoo.com,IN5773554298,Sneha Reddy,"811 Civil Lines, Kochi, BR",false
Prime Traders,+91-9100000168,prime.traders354@yahoo.com,IN7172431402,Arjun Nair,"799 Park Street, Bengaluru, KL",true
Quantum Logistics,+91-9100000169,quantum.logistics544@hotmail.com,IN5505516382,Neha Desai,"47 Park Street, Patna, MH",true
Zenith Traders,+91-9100000170,zenith.traders332@hotmail.com,IN6923378491,Rahul Sharma,"867 Jubilee Hills, Kolkata, UP",true
Quantum Enterprises,+91-9100000171,quantum.enterprises279@hotmail.com,IN5835494343,Divya Reddy,"817 Sector 22, Bengaluru, MH",false
Fusion Exports,+91-9100000172,fusion.exports481@gmail.com,IN6005737780,Karan Verma,"497 FC Road, Delhi, CH",true
Summit Exports,+91-9100000173,summit.exports665@hotmail.com,IN7041945588,Neha Verma,"601 Civil Lines, Kolkata, DL",false
Nimbus Distributors,+91-9100000174,nimbus.distributors329@rediff.com,IN4629464167,Karan Mehta,"718 Sector 22, Pune, WB",true
Zenith Exports,+91-9100000175,zenith.exports373@yahoo.com,IN2730853554,Raj Sharma,"614 Salt Lake, Chandigarh, CH",true
Elite Holdings,+91-9100000176,elite.holdings378@rediff.com,IN7687165998,Neha Reddy,"463 Nehru Nagar, Mumbai, MH",false
Elite Logistics,+91-9100000177,elite.logistics953@hotmail.com,IN8522985165,Sneha Verma,"573 Marine Drive, Chandigarh, UP",false
Global Enterprises,+91-9100000178,global.enterprises673@rediff.com,IN9489246623,Mohit Sharma,"436 Salt Lake, Patna, CH",true
Vertex Distributors,+91-9100000179,vertex.distributors723@outlook.com,IN2554108785,Mohit Kumar,"560 Nehru Nagar, Chandigarh, MH",true
Vertex Supplies,+91-9100000180,vertex.supplies624@yahoo.com,IN1972092351,Rahul Verma,"345 Nehru Nagar, Kochi, KL",true
Fusion Solutions,+91-9100000181,fusion.solutions645@gmail.com,IN6823843963,Rahul Roy,"718 Civil Lines, Kochi, MH",true
Nova Solutions,+91-9100000182,nova.solutions341@hotmail.com,IN7017032084,Arjun Verma,"190 Park Street, Hyderabad, MH",false
Global Enterprises,+91-9100000183,global.enterprises848@hotmail.com,IN9357916869,Raj Roy,"103 Marine Drive, Delhi, BR",true
Nova Holdings,+91-9100000184,nova.holdings517@gmail.com,IN2086372185,Mohit Kumar,"36 Sector 22, Pune, DL",false
Fusion Exports,+91-9100000185,fusion.exports360@hotmail.com,IN3238786584,Arjun Mehta,"460 Marine Drive, Kanpur, TS",false
Vertex Solutions,+91-9100000186,vertex.solutions350@yahoo.com,IN9604222622,Arjun Desai,"542 Marine Drive, Hyderabad, DL",false
Nova Exports,+91-9100000187,nova.exports452@yahoo.com,IN2866446939,Divya Joshi,"887 Park Street, Mumbai, MH",true
Quantum Partners,+91-9100000188,quantum.partners486@yahoo.com,IN1970003747,Sneha Kumar,"576 Jubilee Hills, Kanpur, BR",false
Prime Logistics,+91-9100000189,prime.logistics778@hotmail.com,IN9210591682,Sneha Roy,"269 FC Road, Bengaluru, CH",false
Elite Exports,+91-9100000190,elite.exports611@hotmail.com,IN9150669211,Anita Mehta,"895 Marine Drive, Pune, DL",false
Fusion Distributors,+91-9100000191,fusion.distributors313@hotmail.com,IN6272813808,Divya Desai,"593 Marine Drive, Pune, DL",true
Elite Enterprises,+91-9100000192,elite.enterprises701@rediff.com,IN3763586301,Anita Roy,"285 MG Road, Mumbai, BR",false
Prime Partners,+91-9100000193,prime.partners113@gmail.com,IN2144392771,Arjun Joshi,"777 Jubilee Hills, Kolkata, TS",false
Global Logistics,+91-9100000194,global.logistics893@yahoo.com,IN6144279584,Mohit Verma,"15 Civil Lines, Chandigarh, UP",false
Zenith Holdings,+91-9100000195,zenith.holdings567@yahoo.com,IN5057548655,Divya Verma,"630 MG Road, Pune, WB",true
Nimbus Exports,+91-9100000196,nimbus.exports141@gmail.com,IN5455336279,Mohit Roy,"294 Jubilee Hills, Delhi, MH",true
Nova Exports,+91-9100000197,nova.exports301@outlook.com,IN2609380098,Karan Nair,"859 Sector 22, Mumbai, CH",true
Global Partners,+91-9100000198,global.partners985@outlook.com,IN8211011483,Mohit Kumar,"507 Civil Lines, Hyderabad, KA",true
Elite Solutions,+91-9100000199,elite.solutions504@hotmail.com,IN8216658098,Neha Sharma,"211 Residency Road, Delhi, BR",true
Vertex Logistics,+91-9100000200,vertex.logistics202@rediff.com,IN2628095785,Neha Roy,"614 Jubilee Hills, Chandigarh, KA",true
Summit Partners,+91-9100000201,summit.partners876@yahoo.com,IN9449019334,Karan Mehta,"306 Marine Drive, Delhi, DL",false
Quantum Holdings,+91-9100000202,quantum.holdings497@yahoo.com,IN1948141325,Priya Kumar,"356 Park Street, Mumbai, BR",true
Nimbus Logistics,+91-9100000203,nimbus.logistics756@outlook.com,IN2123886781,Mohit Malhotra,"601 Marine Drive, Delhi, CH",false
Vertex Solutions,+91-9100000204,vertex.solutions980@outlook.com,IN8530799268,Divya Nair,"350 FC Road, Mumbai, MH",true
Nimbus Supplies,+91-9100000205,nimbus.supplies333@yahoo.com,IN2013059240,Arjun Desai,"408 Salt Lake, Patna, WB",false
Nimbus Exports,+91-9100000206,nimbus.exports589@hotmail.com,IN1060990102,Anita Malhotra,"907 Nehru Nagar, Bengaluru, DL",false
Global Exports,+91-9100000207,global.exports836@gmail.com,IN7327211333,Mohit Nair,"237 FC Road, Mumbai, MH",false
Nova Solutions,+91-9100000208,nova.solutions650@outlook.com,IN5169170610,Anita Verma,"389 Marine Drive, Kanpur, DL",true
Quantum Enterprises,+91-9100000209,quantum.enterprises644@rediff.com,IN7857139046,Sneha Desai,"597 Civil Lines, Delhi, MH",false
